Date,Time,Lat,Lon
18/1/2026,6:50:9,14.214078,101.179116
18/1/2026,6:50:10,14.214079,101.179124
18/1/2026,6:50:11,14.214082,101.179135
18/1/2026,6:50:12,14.214078,101.179143
18/1/2026,6:50:13,14.214074,101.179151
18/1/2026,6:50:14,14.214069,101.179157
18/1/2026,6:50:15,14.214066,101.179162
18/1/2026,6:50:16,14.214062,101.179165
18/1/2026,6:50:17,14.214059,101.179174
18/1/2026,6:50:18,14.214056,101.179182
18/1/2026,6:50:19,14.214055,101.179189
18/1/2026,6:50:20,14.214052,101.1792
18/1/2026,6:50:21,14.214054,101.179209
18/1/2026,6:50:22,14.214054,101.179218
18/1/2026,6:50:23,14.214055,101.179229
18/1/2026,6:50:24,14.214057,101.179237
18/1/2026,6:50:25,14.214061,101.179243
18/1/2026,6:50:26,14.214064,101.179246
18/1/2026,6:50:27,14.214067,101.179247
18/1/2026,6:50:28,14.214074,101.179244
18/1/2026,6:50:29,14.214081,101.17924
18/1/2026,6:50:30,14.214087,101.179237
18/1/2026,6:50:31,14.214093,101.179233
18/1/2026,6:50:32,14.214101,101.179229
18/1/2026,6:50:33,14.214106,101.179227
18/1/2026,6:50:34,14.214112,101.179225
18/1/2026,6:50:35,14.21412,101.179224
18/1/2026,6:50:36,14.214128,101.179224
18/1/2026,6:50:37,14.214135,101.179224
18/1/2026,6:50:38,14.214144,101.179227
18/1/2026,6:50:39,14.21415,101.179234
18/1/2026,6:50:40,14.214156,101.179237
18/1/2026,6:50:41,14.214162,101.17924
18/1/2026,6:50:42,14.214173,101.179243
18/1/2026,6:50:43,14.214183,101.179246
18/1/2026,6:50:44,14.214188,101.17925
18/1/2026,6:50:45,14.214192,101.17926
18/1/2026,6:50:46,14.214198,101.179268
18/1/2026,6:50:47,14.214203,101.179273
18/1/2026,6:50:48,14.214208,101.179275
18/1/2026,6:50:49,14.214213,101.179277
18/1/2026,6:50:50,14.214219,101.179276
18/1/2026,6:50:51,14.214223,101.179275
18/1/2026,6:50:52,14.21423,101.179278
18/1/2026,6:50:53,14.214238,101.179281
18/1/2026,6:50:54,14.214246,101.179285
18/1/2026,6:50:55,14.214252,101.179291
18/1/2026,6:50:56,14.214259,101.179295
18/1/2026,6:50:57,14.214264,101.179297
18/1/2026,6:50:58,14.214268,101.1793
18/1/2026,6:50:59,14.214274,101.179304
18/1/2026,6:51:0,14.214278,101.179309
18/1/2026,6:51:1,14.214282,101.179316
18/1/2026,6:51:2,14.214289,101.179322
18/1/2026,6:51:3,14.214294,101.179327
18/1/2026,6:51:4,14.214301,101.179332
18/1/2026,6:51:5,14.214308,101.17934
18/1/2026,6:51:6,14.214313,101.179345
18/1/2026,6:51:7,14.214317,101.179351
18/1/2026,6:51:8,14.214322,101.179358
18/1/2026,6:51:9,14.214328,101.179361
18/1/2026,6:51:10,14.214334,101.179362
18/1/2026,6:51:11,14.214341,101.179365
18/1/2026,6:51:12,14.21435,101.179367
18/1/2026,6:51:13,14.214357,101.17937
18/1/2026,6:51:14,14.214358,101.179372
18/1/2026,6:51:15,14.214357,101.179373
18/1/2026,6:51:16,14.214355,101.179375
18/1/2026,6:51:17,14.214358,101.179375
18/1/2026,6:51:18,14.214362,101.179376
18/1/2026,6:51:19,14.214367,101.179382
18/1/2026,6:51:20,14.214373,101.179388
18/1/2026,6:51:21,14.214377,101.179391
18/1/2026,6:51:22,14.214384,101.179393
18/1/2026,6:51:23,14.214393,101.179392
